JIT:: Q:7, C:48, T:7.2334, F:1
JIT:: Q:7, C:48, T:21.6287, F:1
JIT:: Q:6, C:48, T:36.4898, F:1
JIT:: Q:7, C:1, T:126.133, F:1
JIT:: Q:7, C:48, T:21.9573, F:1
JIT:: Q:7, C:48, T:21.5142, F:1
JIT:: Q:1, C:48, T:1.14543, F:1
JIT:: Q:6, C:48, T:31.8764, F:1
JIT:: Q:6, C:48, T:36.8248, F:1
JIT:: Q:6, C:48, T:24.6678, F:1
JIT:: Q:6, C:48, T:7.07597, F:1
JIT:: Q:6, C:48, T:6.96686, F:1
JIT:: Q:6, C:48, T:6.78281, F:1
JIT:: Q:6, C:48, T:7.13174, F:1
JIT:: Q:6, C:48, T:7.08877, F:1
JIT:: Q:7, C:48, T:4.88126, F:1
JIT:: Q:7, C:48, T:4.91491, F:1
