This is the log to confirm that all running times were as expected.

[type=JIT/CMP]:: Q:[query #],  C:[# cores], T:[real time elapsed], F:[# files]
JIT:: Q:1, C:48, T:2.86921, F:10
JIT:: Q:1, C:1, T:6.99279, F:1
JIT:: Q:1, C:1, T:7.27858, F:1
JIT:: Q:1, C:1, T:7.14081, F:1
JIT:: Q:1, C:1, T:7.03441, F:1
JIT:: Q:1, C:1, T:7.16511, F:1
JIT:: Q:1, C:1, T:7.35237, F:1
JIT:: Q:1, C:1, T:7.54734, F:1
JIT:: Q:7, C:1, T:195.779, F:1
JIT:: Q:7, C:48, T:7.32624, F:1
JIT:: Q:6, C:48, T:37.5097, F:1
JIT:: Q:1, C:1, T:7.48444, F:1
JIT:: Q:1, C:1, T:7.14397, F:1
JIT:: Q:1, C:1, T:7.42583, F:1
JIT:: Q:2, C:1, T:21.1723, F:1
JIT:: Q:2, C:1, T:21.2737, F:1
JIT:: Q:2, C:1, T:20.9138, F:1
JIT:: Q:3, C:1, T:51.0675, F:1
JIT:: Q:3, C:1, T:50.7264, F:1
JIT:: Q:3, C:1, T:50.985, F:1
JIT:: Q:4, C:1, T:26.5902, F:1
JIT:: Q:4, C:1, T:26.6413, F:1
JIT:: Q:4, C:1, T:26.6091, F:1
JIT:: Q:5, C:1, T:52.8265, F:1
JIT:: Q:5, C:1, T:53.2227, F:1
JIT:: Q:5, C:1, T:53.0225, F:1
JIT:: Q:6, C:1, T:471.594, F:1
JIT:: Q:6, C:1, T:493.171, F:1
JIT:: Q:1, C:48, T:1.27432, F:1
JIT:: Q:1, C:48, T:1.25798, F:1
JIT:: Q:1, C:48, T:1.25183, F:1
JIT:: Q:2, C:48, T:1.56088, F:1
JIT:: Q:2, C:48, T:1.51105, F:1
JIT:: Q:2, C:48, T:1.55181, F:1
JIT:: Q:3, C:48, T:2.48831, F:1
JIT:: Q:3, C:48, T:2.54245, F:1
JIT:: Q:3, C:48, T:2.4964, F:1
JIT:: Q:4, C:48, T:2.0032, F:1
JIT:: Q:4, C:48, T:1.89784, F:1
JIT:: Q:4, C:48, T:1.93823, F:1
JIT:: Q:5, C:48, T:3.09339, F:1
JIT:: Q:5, C:48, T:2.98872, F:1
JIT:: Q:5, C:48, T:3.09134, F:1
JIT:: Q:6, C:48, T:38.2229, F:1
JIT:: Q:6, C:48, T:36.7592, F:1
JIT:: Q:6, C:48, T:36.3619, F:1
JIT:: Q:7, C:48, T:7.56526, F:1
JIT:: Q:7, C:48, T:7.69746, F:1
JIT:: Q:7, C:48, T:7.67275, F:1
JIT:: Q:8, C:48, T:4.01057, F:1
JIT:: Q:8, C:48, T:3.9968, F:1
JIT:: Q:8, C:48, T:4.2115, F:1
JIT:: Q:1, C:48, T:2.8254, F:10
JIT:: Q:1, C:48, T:2.85243, F:10
JIT:: Q:1, C:48, T:2.83033, F:10
JIT:: Q:2, C:48, T:6.39762, F:10
JIT:: Q:2, C:48, T:6.43339, F:10
JIT:: Q:2, C:48, T:6.39104, F:10
JIT:: Q:3, C:48, T:14.2074, F:10
JIT:: Q:3, C:48, T:14.1001, F:10
JIT:: Q:3, C:48, T:14.053, F:10
JIT:: Q:4, C:48, T:8.00082, F:10
JIT:: Q:4, C:48, T:8.03716, F:10
JIT:: Q:4, C:48, T:8.08501, F:10
JIT:: Q:5, C:48, T:15.8789, F:10
JIT:: Q:5, C:48, T:16.1615, F:10
JIT:: Q:5, C:48, T:15.8131, F:10
JIT:: Q:6, C:48, T:349.348, F:10
JIT:: Q:6, C:48, T:341.741, F:10
JIT:: Q:6, C:48, T:354.595, F:10
JIT:: Q:7, C:48, T:57.9505, F:10
JIT:: Q:7, C:48, T:58.0608, F:10
JIT:: Q:7, C:48, T:58.9868, F:10
JIT:: Q:8, C:48, T:21.4918, F:10
JIT:: Q:8, C:48, T:21.7992, F:10
JIT:: Q:1, C:8, T:1.81006, F:1
JIT:: Q:1, C:8, T:1.78868, F:1
JIT:: Q:1, C:8, T:1.8131, F:1
JIT:: Q:2, C:8, T:3.48245, F:1
JIT:: Q:2, C:8, T:3.41799, F:1
JIT:: Q:2, C:8, T:3.45393, F:1
JIT:: Q:3, C:8, T:7.49706, F:1
JIT:: Q:3, C:8, T:7.46028, F:1
JIT:: Q:3, C:8, T:7.323, F:1
JIT:: Q:4, C:8, T:4.43748, F:1
JIT:: Q:4, C:8, T:4.42955, F:1
JIT:: Q:4, C:8, T:4.37359, F:1
JIT:: Q:5, C:8, T:8.28784, F:1
JIT:: Q:5, C:8, T:8.05639, F:1
JIT:: Q:5, C:8, T:8.20807, F:1
JIT:: Q:6, C:8, T:75.4746, F:1
JIT:: Q:6, C:8, T:73.182, F:1
JIT:: Q:6, C:8, T:74.4964, F:1
JIT:: Q:7, C:8, T:28.9847, F:1
JIT:: Q:7, C:8, T:29.3374, F:1
JIT:: Q:7, C:8, T:29.3484, F:1
JIT:: Q:8, C:8, T:11.3726, F:1
JIT:: Q:8, C:8, T:11.7347, F:1
JIT:: Q:8, C:8, T:11.3742, F:1
JIT:: Q:1, C:1, T:7.26801, F:1
JIT:: Q:1, C:1, T:7.4207, F:1
JIT:: Q:1, C:1, T:7.16496, F:1
JIT:: Q:2, C:1, T:20.9618, F:1
JIT:: Q:2, C:1, T:21.2874, F:1
JIT:: Q:2, C:1, T:21.111, F:1
JIT:: Q:3, C:1, T:51.1362, F:1
JIT:: Q:3, C:1, T:50.9316, F:1
JIT:: Q:3, C:1, T:51.1312, F:1
JIT:: Q:4, C:1, T:26.6105, F:1
JIT:: Q:4, C:1, T:26.3674, F:1
JIT:: Q:4, C:1, T:26.8593, F:1
JIT:: Q:5, C:1, T:53.1166, F:1
JIT:: Q:5, C:1, T:53.2365, F:1
JIT:: Q:5, C:1, T:53.3503, F:1
JIT:: Q:6, C:1, T:486.427, F:1
JIT:: Q:6, C:1, T:495.678, F:1
