CMP:: Q:4, C:48, T:6.10773, F:10
CMP:: Q:4, C:48, T:6.11553, F:10
CMP:: Q:4, C:48, T:6.15283, F:10
CMP:: Q:5, C:48, T:7.8986, F:10
CMP:: Q:5, C:48, T:7.80015, F:10
CMP:: Q:5, C:48, T:7.83981, F:10
CMP:: Q:6, C:48, T:28.4533, F:10
CMP:: Q:6, C:48, T:28.6744, F:10
CMP:: Q:6, C:48, T:28.7974, F:10
CMP:: Q:7, C:48, T:22.5741, F:10
CMP:: Q:7, C:48, T:22.9736, F:10
CMP:: Q:7, C:48, T:23.4454, F:10
CMP:: Q:8, C:48, T:10.3648, F:10
CMP:: Q:8, C:48, T:10.2352, F:10
CMP:: Q:8, C:48, T:10.4542, F:10
