JIT:: Q:5, C:48, T:10.087, F:10, O:3
JIT:: Q:1, C:8, T:7.22371, F:10, O:3
JIT:: Q:1, C:8, T:6.61278, F:10, O:3
JIT:: Q:2, C:8, T:17.9756, F:10, O:3
JIT:: Q:2, C:8, T:18.0524, F:10, O:3
JIT:: Q:3, C:8, T:34.4255, F:10, O:3
JIT:: Q:3, C:8, T:34.4145, F:10, O:3
JIT:: Q:5, C:8, T:44.9219, F:10, O:3
JIT:: Q:5, C:8, T:44.4849, F:10, O:3
JIT:: Q:1, C:1, T:45.7297, F:10, O:3
JIT:: Q:1, C:1, T:45.9839, F:10, O:3
JIT:: Q:2, C:1, T:137.152, F:10, O:3
JIT:: Q:2, C:1, T:136.354, F:10, O:3
JIT:: Q:3, C:1, T:240.543, F:10, O:3
JIT:: Q:3, C:1, T:241.934, F:10, O:3
JIT:: Q:5, C:1, T:291.021, F:10, O:3
JIT:: Q:5, C:1, T:294.397, F:10, O:3
JIT:: Q:1, C:48, T:1.24743, F:1, O:1
JIT:: Q:1, C:48, T:1.27363, F:1, O:1
JIT:: Q:2, C:48, T:1.56609, F:1, O:1
JIT:: Q:2, C:48, T:1.56168, F:1, O:1
JIT:: Q:3, C:48, T:2.54509, F:1, O:1
JIT:: Q:3, C:48, T:2.55201, F:1, O:1
JIT:: Q:5, C:48, T:3.1555, F:1, O:1
JIT:: Q:5, C:48, T:3.01502, F:1, O:1
JIT:: Q:1, C:8, T:1.79879, F:1, O:1
JIT:: Q:1, C:8, T:1.81424, F:1, O:1
JIT:: Q:2, C:8, T:3.56998, F:1, O:1
JIT:: Q:2, C:8, T:3.52161, F:1, O:1
JIT:: Q:3, C:8, T:7.39042, F:1, O:1
JIT:: Q:3, C:8, T:7.1552, F:1, O:1
JIT:: Q:5, C:8, T:8.14614, F:1, O:1
JIT:: Q:5, C:8, T:8.09513, F:1, O:1
JIT:: Q:1, C:1, T:7.34172, F:1, O:1
JIT:: Q:1, C:1, T:7.19262, F:1, O:1
JIT:: Q:2, C:1, T:21.4335, F:1, O:1
JIT:: Q:2, C:1, T:21.423, F:1, O:1
JIT:: Q:3, C:1, T:49.2868, F:1, O:1
JIT:: Q:3, C:1, T:48.9882, F:1, O:1
JIT:: Q:5, C:1, T:53.2389, F:1, O:1
JIT:: Q:5, C:1, T:52.864, F:1, O:1
JIT:: Q:1, C:48, T:2.74933, F:10, O:1
JIT:: Q:1, C:48, T:2.80878, F:10, O:1
JIT:: Q:2, C:48, T:6.50977, F:10, O:1
JIT:: Q:2, C:48, T:6.52068, F:10, O:1
JIT:: Q:3, C:48, T:13.7664, F:10, O:1
JIT:: Q:3, C:48, T:13.7784, F:10, O:1
JIT:: Q:5, C:48, T:15.6969, F:10, O:1
JIT:: Q:5, C:48, T:15.8568, F:10, O:1
JIT:: Q:1, C:8, T:9.89616, F:10, O:1
JIT:: Q:1, C:8, T:9.83439, F:10, O:1
JIT:: Q:2, C:8, T:29.1311, F:10, O:1
JIT:: Q:2, C:8, T:29.0905, F:10, O:1
JIT:: Q:3, C:8, T:67.3687, F:10, O:1
JIT:: Q:3, C:8, T:61.7599, F:10, O:1
JIT:: Q:5, C:8, T:67.2118, F:10, O:1
JIT:: Q:5, C:8, T:73.8058, F:10, O:1
JIT:: Q:1, C:1, T:65.0841, F:10, O:1
JIT:: Q:1, C:1, T:62.2675, F:10, O:1
JIT:: Q:2, C:1, T:207.342, F:10, O:1
JIT:: Q:2, C:1, T:205.55, F:10, O:1
JIT:: Q:3, C:1, T:478.978, F:10, O:1
JIT:: Q:3, C:1, T:475.601, F:10, O:1
JIT:: Q:5, C:1, T:515.918, F:10, O:1
JIT:: Q:5, C:1, T:514.789, F:10, O:1
JIT:: Q:4, C:8, T:21.2778, F:10, O:3
