JIT:: Q:1, C:48, T:1.24213, F:1
JIT:: Q:1, C:48, T:1.27079, F:1
JIT:: Q:2, C:48, T:1.52744, F:1
JIT:: Q:2, C:48, T:1.55524, F:1
JIT:: Q:3, C:48, T:2.53809, F:1
JIT:: Q:3, C:48, T:2.44012, F:1
JIT:: Q:4, C:48, T:2.0011, F:1
JIT:: Q:4, C:48, T:1.94358, F:1
JIT:: Q:5, C:48, T:2.97494, F:1
JIT:: Q:5, C:48, T:2.95415, F:1
JIT:: Q:6, C:48, T:36.5136, F:1
JIT:: Q:6, C:48, T:36.9584, F:1
JIT:: Q:7, C:48, T:8.13289, F:1
JIT:: Q:7, C:48, T:7.31868, F:1
JIT:: Q:8, C:48, T:4.01841, F:1
JIT:: Q:8, C:48, T:4.03184, F:1
JIT:: Q:1, C:8, T:1.79782, F:1
JIT:: Q:1, C:8, T:1.88104, F:1
JIT:: Q:2, C:8, T:3.62423, F:1
JIT:: Q:2, C:8, T:3.44059, F:1
JIT:: Q:3, C:8, T:7.47491, F:1
JIT:: Q:3, C:8, T:7.34787, F:1
JIT:: Q:4, C:8, T:4.43979, F:1
JIT:: Q:4, C:8, T:4.41915, F:1
JIT:: Q:5, C:8, T:8.29226, F:1
JIT:: Q:5, C:8, T:8.32032, F:1
JIT:: Q:6, C:8, T:73.8832, F:1
JIT:: Q:6, C:8, T:76.7691, F:1
JIT:: Q:7, C:8, T:30.3636, F:1
JIT:: Q:7, C:8, T:29.3621, F:1
JIT:: Q:8, C:8, T:11.724, F:1
JIT:: Q:8, C:8, T:11.7242, F:1
JIT:: Q:1, C:1, T:7.51594, F:1
JIT:: Q:1, C:1, T:7.49266, F:1
JIT:: Q:2, C:1, T:21.1034, F:1
JIT:: Q:2, C:1, T:21.3736, F:1
JIT:: Q:3, C:1, T:50.4749, F:1
JIT:: Q:3, C:1, T:49.9661, F:1
JIT:: Q:4, C:1, T:26.4854, F:1
JIT:: Q:4, C:1, T:26.5851, F:1
JIT:: Q:5, C:1, T:53.1848, F:1
JIT:: Q:5, C:1, T:53.5119, F:1
JIT:: Q:6, C:1, T:473.784, F:1
JIT:: Q:6, C:1, T:506.825, F:1
JIT:: Q:7, C:1, T:195.031, F:1
JIT:: Q:7, C:1, T:194.583, F:1
JIT:: Q:8, C:1, T:68.2312, F:1
JIT:: Q:8, C:1, T:68.2155, F:1
JIT:: Q:7, C:1, T:193.98, F:1
JIT:: Q:7, C:1, T:194.496, F:1
JIT:: Q:6, C:1, T:502.815, F:1
JIT:: Q:6, C:1, T:469.138, F:1
JIT:: Q:1, C:48, T:2.82277, F:10
